Alloy Formula,Rm,Rmd,Vmm,Eea,Eead,XM,XMd,XP,XPd,Hf,Hfd,I1,I1d,I2,I2d,Tm,Tmd,Cp,Cpd,K,Kd,VEC,VECd,Hmix,Smix,Dmax
Cu60Hf17.5Ti22.5,0.358909234,0.186966938,0.231020274,0.498040213,0.005800653,0.463124647,0.500250518,0.543656064,0.36639415,0.273764983,0.130750032,0.541400367,0.255440322,0.538107608,0.142109257,0.502548479,0.537022478,0.364539069,0.020243472,0.726043905,0.41467947,0.781866667,0.251457262,0.860629238,0.32403055,3
Fe46Co30Mo4(P0.45C0.2B0.2Si0.15)20,0.102860773,0.350320424,0.043217566,0.339445518,0.006222899,0.599096092,0.566453655,0.731072187,0.170061002,0.448915062,0.659639411,0.874014618,0.557716022,0.496865373,0.107535484,0.582192112,0.777653271,0.249753189,0.545826316,0.121023312,0.205981649,0.684533333,0.039401145,0.573183376,0.707731904,3
Cu60Zr33Ti7,0.396744574,0.330813186,0.270916706,0.547568211,0.003738231,0.471341996,0.473239627,0.519957777,0.434679983,0.239341779,0.042065288,0.517611833,0.314047381,0.497003839,0.17089117,0.476919161,0.432470984,0.3629662,0.011761825,0.726303813,0.414325276,0.781866667,0.251457262,0.697438745,0.253094065,3
(Cu0.50Zr0.43Al0.07)98Si2,0.432646172,0.359867529,0.305048142,0.525694178,0.003666144,0.424436341,0.531018584,0.479339087,0.470394815,0.265415837,0.193049505,0.462240951,0.394717888,0.457169859,0.17324603,0.48178556,0.507859532,0.357037041,0.0680921,0.637789507,0.450837339,0.670053333,0.329937895,0.524875294,0.346934206,3
[(Ni0.6Fe0.4)0.75B0.2Si0.05]96Nb4,0.061367392,0.624548335,0.026339727,0.454081395,0.005785721,0.553541164,0.141279893,0.704283574,0.018393027,0.579263255,0.345454378,0.715666414,0.166153717,0.632610231,0.149609459,0.65440107,0.264572793,0.170482793,0.805496247,0.097769151,0.183646153,0.7008,0.184248008,0.578133319,0.616398413,3
Fe65.5Cr4Mo4Ga4P12C5B5.5,0.087823281,0.472732563,0.037638591,0.276580378,0.007954394,0.567061271,0.717910149,0.727990542,0.228124231,0.420787631,0.760485045,0.871955905,0.703227765,0.522951887,0.129344748,0.550764274,1,0.231863411,0.621369417,0.078394893,0.248735477,0.595866667,0.068085644,0.532351966,0.548130532,3
Cu60Zr20Hf10Ti10,0.387036917,0.297066978,0.260522219,0.529625497,0.004483544,0.46890247,0.481339271,0.522822405,0.429412715,0.261855375,0.104652131,0.526948163,0.292678845,0.517824072,0.157118545,0.499117674,0.505923639,0.36537937,0.018728525,0.726325623,0.414295811,0.781866667,0.251457262,0.749132628,0.437486071,3
Fe74Mo5P10C4B4Si3,0.097682394,0.35496227,0.040029566,0.269736718,0.009302186,0.571490935,0.613971953,0.724040827,0.18960466,0.426604675,0.6914628,0.883129903,0.573168289,0.471234308,0.114680995,0.588268947,0.807828002,0.255255216,0.547723312,0.098625212,0.223927974,0.637866667,0.020303233,0.546605794,0.338782332,3
Fe63C15Mo14Er2B6,0.071891473,0.871081244,0.044864861,0.311645161,0.008764904,0.5922911,0.817499729,0.778902795,0.37119234,0.897023318,0.647388691,0.883980364,0.758373464,0.540931854,0.170313485,0.92110873,0.688408375,0.095756742,0.949858655,0.150063432,0.162056513,0.584533333,0.080335363,0.43067466,0.444729984,3
Cu52.5Hf40Al7.5,0.413217299,0.284378679,0.283140391,0.479580896,0.005678196,0.422679883,0.539224081,0.477899828,0.499372508,0.332944772,0.169931568,0.492255379,0.343673412,0.559512602,0.113906429,0.568269941,0.716546232,0.375980081,0.040723008,0.682232085,0.424137125,0.701866667,0.313482401,0.710330541,0.285564281,3
Ni42Ti19Zr22.5Al8Cu5Si3.5,0.371444084,0.336387687,0.24865344,0.474819788,0.005079614,0.398798213,0.529250429,0.517917815,0.377895423,0.335484037,0.207995516,0.460098991,0.367071601,0.364002779,0.127397527,0.561230481,0.32790091,0.404370596,0.113365822,0.151701036,0.583130983,0.593866667,0.303129114,0.146898895,0.754245444,3
Fe75C7Si3.3B5P8.7Ga1,0.067750212,0.475609161,0.024684753,0.271518297,0.00998479,0.594396795,0.68827922,0.726237042,0.232973728,0.518634528,0.757781782,0.91809431,0.617832479,0.508083741,0.134149552,0.598926885,0.857210468,0.205495219,0.690289015,0.094586437,0.211653019,0.625466667,0.050800285,0.49344552,0.304520819,3
(Fe0.9Co0.1)64.75Mo14C15B6Er0.25,0.059825418,0.794036281,0.032447272,0.326582531,0.008085515,0.606738868,0.792172655,0.790675983,0.33086876,0.89863032,0.645842089,0.895261325,0.736302791,0.555560289,0.162849229,0.9192973,0.691251297,0.089583551,0.945362342,0.158915946,0.144285245,0.604833333,0.07305391,0.449618319,0.554833433,3
