AN,XPd,Cmd,K,VEC,Hmix,HV
0.147892377,0.345126833,0.146174025,0.276284424,0.71,0.671729961,220
0.215663782,0.287464727,0.132696177,0.301264022,0.818604651,0.772351326,220
0.16249905,0.259834992,0.108137214,0.571900299,0.810169492,0.790069615,231
0.179372197,0.23911894,0.042762928,0.211764706,0.8,0.633481049,238.1
0.172034244,0.249417555,0.141380208,0.605433155,0.890909091,0.808263615,239
0.139598362,0.25941015,0.127706668,0.375406649,0.713043478,0.647317416,240
0.152466368,0.218744324,0.06160657,0.648235294,0.866666667,0.748967949,249.3
0.218412029,0.316550511,0.090503227,0.490279123,0.980392157,0.902611166,253
0.28161435,0.376189825,0.12735228,0.613270588,0.84,0.964770417,263
0.199871877,0.297840925,0.05176072,0.225792717,0.780952381,0.640948623,267.3
0.132286996,0.265063473,0.067155295,0.704490196,0.716666667,0.83360769,271
0.163795138,0.269482729,0.111167753,0.590464396,0.824561404,0.772452587,272
0.149683006,0.260625755,0.110948107,0.631951319,0.8,0.784142343,273.3
0.376681614,0.776098323,0.115678496,0.829019608,0.866666667,0.722223615,276
0.245996156,0.262532609,0.131599087,0.278341737,0.819047619,0.714383902,277
0.144394619,0.34558018,0.145868137,0.283932235,0.7,0.661892286,278
0.165919283,0.257421296,0.140639357,0.611983193,0.871428571,0.791788656,279
0.17103139,0.23369507,0.131370378,0.457101176,0.866,0.751003436,280
0.156310058,0.001715915,0.337341873,0.320672269,0.857142857,0.438108474,286
0.190134529,0.348464924,0.15494612,0.490748235,0.88,0.922757499,286.5
0.160018881,0.264687747,0.139889194,0.618303406,0.852631579,0.776493534,291
0.142454896,0.322621134,0.158271671,0.227140903,0.637209302,0.742765431,297
0.549327354,0.085854243,0,0.049647059,0.15,0.857768765,298
0.596412556,0.328483513,0.006407085,0.001235294,0.05,0.904267438,301
0.149103139,0.21914827,0.136484011,0.308044118,0.675,0.743573495,303.8
0.814349776,0.355011334,0.018696348,0.025223529,0.08,0.922757499,306.7
0.209443419,0.233943514,0.129836474,0.275515571,0.811764706,0.696059764,309
0.154321942,0.271300513,0.139131521,0.62440568,0.834482759,0.762286634,316
0.230079338,0.316331814,0.09581779,0.484126697,0.961538462,0.903377279,319
0.160674926,0.294200313,0.108739224,0.569092722,0.796610169,0.722683194,321
